xdatetime_srv,xdatetime_loc,xouttemp,xwinddirec,xwindsp,xsunvol,xsunadd,xinsunvol,xinsunadd,xgndtemp,xgndhum,xwatertemp2,xrain,xhumlack,xsthum,xabhum,xdhum,Xsupplytemp1,Xreturntemp1,xintemp1,xinhum1,xco2,xco2set,xwinvol1_1,xcurivol,x3way1vol,xwinlauto,xcurlauto,x3waylauto,xco2auto,xlightauto,xhunauto,xboauto,xpumpauto,xco2run,xlightrun,xhunrun,xborun,xjuya,xventtemp1,xheattemp1,xasslauto,xass1run,XheatandCool1Auto,XheatandCool1Run,xpumprun1,set_val1,re_val1,ac_val1,set_ec,now_ec,set_ph,now_ph,sunrise,sunset,sunvol,sunadd,water_con,medium_ec,medium_temp,in_temp,in_hum,pi_ec,g1,j30m,jday
2026-03-17 00:10:00,2026-03-17 00:10:00,10.3,344,1.3,0.0,0.0,0.0,0.0,8.4,78.0,45.0,0,8.21,29.05,20.84,12.4,60.0,40.0,18.1,71.7,445,450,0.0,100,100,자동,자동,자동,자동,자동,자동,자동,자동,1,0,0,1,0,26.0,18.0,자동,0,자동,0,1,150.0,1000.0,0.0,2.5,2.45,5.8,5.79,06:30,18:30,0.0,0.0,64.4,2.95,16.1,18.1,71.7,2.35,0.0,0.0,1850.5
2026-03-17 00:11:00,2026-03-17 00:11:00,10.5,60,3.5,0.0,0.0,0.0,0.0,8.6,76.1,45.0,0,7.84,29.12,21.28,12.9,60.0,40.0,18.2,73.1,467,450,0.0,100,100,자동,자동,자동,자동,자동,자동,자동,자동,0,0,0,1,0,26.0,18.0,자동,0,자동,0,1,150.0,1000.0,0.0,2.5,2.49,5.8,5.82,06:30,18:30,0.0,0.0,64.4,2.99,16.2,18.2,73.1,2.39,0.0,0.0,1850.5
2026-03-17 00:12:00,2026-03-17 00:12:00,10.4,29,1.4,0.0,0.0,0.0,0.0,8.4,77.5,45.0,0,7.61,28.99,21.38,12.7,60.0,40.0,18.0,73.8,444,450,0.0,100,100,자동,자동,자동,자동,자동,자동,자동,자동,1,0,0,1,0,26.0,18.0,자동,0,자동,0,1,150.0,1000.0,0.0,2.5,2.51,5.8,5.79,06:30,18:30,0.0,0.0,64.3,3.01,16.0,18.0,73.8,2.41,0.0,0.0,1850.5
2026-03-17 00:13:00,2026-03-17 00:13:00,10.5,71,1.7,0.0,0.0,0.0,0.0,8.5,76.7,45.0,0,7.94,29.14,21.2,12.8,60.0,40.0,18.3,72.7,476,450,0.0,100,100,자동,자동,자동,자동,자동,자동,자동,자동,0,0,0,1,0,26.0,18.0,자동,0,자동,0,1,150.0,1000.0,0.0,2.5,2.5,5.8,5.76,06:30,18:30,0.0,0.0,64.3,3.0,16.3,18.3,72.7,2.4,0.0,0.0,1850.5
2026-03-17 00:14:00,2026-03-17 00:14:00,10.3,126,2.6,0.0,0.0,0.0,0.0,8.5,76.5,45.0,0,7.86,29.04,21.18,12.7,60.0,40.0,18.1,72.9,447,450,0.0,100,100,자동,자동,자동,자동,자동,자동,자동,자동,1,0,0,1,0,26.0,18.0,자동,0,자동,0,1,150.0,1000.0,0.0,2.5,2.55,5.8,5.79,06:30,18:30,0.0,0.0,64.2,3.05,16.1,18.1,72.9,2.45,0.0,0.0,1850.5
2026-03-17 00:15:00,2026-03-17 00:15:00,10.3,21,2.7,0.0,0.0,0.0,0.0,8.3,78.1,45.0,0,7.91,28.9,21.0,12.3,60.0,40.0,17.8,72.6,428,450,0.0,100,100,자동,자동,자동,자동,자동,자동,자동,자동,1,0,0,1,0,26.0,18.0,자동,0,자동,0,1,150.0,1000.0,0.0,2.5,2.54,5.8,5.81,06:30,18:30,0.0,0.0,64.2,3.04,15.8,17.8,72.6,2.44,0.0,0.0,1850.5
2026-03-17 00:16:00,2026-03-17 00:16:00,10.3,252,2.9,0.0,0.0,0.0,0.0,8.4,77.8,45.0,0,7.84,28.92,21.08,12.4,60.0,40.0,17.8,72.9,445,450,0.0,100,100,자동,자동,자동,자동,자동,자동,자동,자동,1,0,0,1,0,26.0,18.0,자동,0,자동,0,1,150.0,1000.0,0.0,2.5,2.54,5.8,5.87,06:30,18:30,0.0,0.0,64.1,3.04,15.8,17.8,72.9,2.44,0.0,0.0,1850.5
2026-03-17 00:17:00,2026-03-17 00:17:00,10.9,63,2.4,0.0,0.0,0.0,0.0,8.8,77.6,45.0,0,7.98,29.02,21.03,12.5,60.0,40.0,18.0,72.5,424,450,0.0,100,100,자동,자동,자동,자동,자동,자동,자동,자동,1,0,0,1,0,26.0,18.0,자동,0,자동,0,1,150.0,1000.0,0.0,2.5,2.47,5.8,5.92,06:30,18:30,0.0,0.0,64.1,2.97,16.0,18.0,72.5,2.37,0.0,0.0,1850.5
2026-03-17 00:18:00,2026-03-17 00:18:00,10.6,264,2.4,0.0,0.0,0.0,0.0,8.6,77.5,45.0,0,7.49,28.9,21.41,12.6,60.0,40.0,17.8,74.1,465,450,0.0,100,100,자동,자동,자동,자동,자동,자동,자동,자동,0,0,0,1,0,26.0,18.0,자동,0,자동,0,1,150.0,1000.0,0.0,2.5,2.44,5.8,5.79,06:30,18:30,0.0,0.0,64.0,2.94,15.8,17.8,74.1,2.34,0.0,0.0,1850.5
2026-03-17 00:19:00,2026-03-17 00:19:00,10.5,6,2.5,0.0,0.0,0.0,0.0,8.4,76.2,45.0,0,8.35,29.15,20.8,12.6,60.0,40.0,18.3,71.3,453,450,0.0,100,100,자동,자동,자동,자동,자동,자동,자동,자동,0,0,0,1,0,26.0,18.0,자동,0,자동,0,1,150.0,1000.0,0.0,2.5,2.5,5.8,5.73,06:30,18:30,0.0,0.0,64.0,3.0,16.3,18.3,71.3,2.4,0.0,0.0,1850.5
2026-03-17 00:20:00,2026-03-17 00:20:00,10.4,105,2.3,0.0,0.0,0.0,0.0,8.4,79.1,45.0,0,7.76,28.97,21.21,12.6,60.0,40.0,17.9,73.2,432,450,0.0,100,100,자동,자동,자동,자동,자동,자동,자동,자동,1,0,0,1,0,26.0,18.0,자동,0,자동,0,1,150.0,1000.0,0.0,2.5,2.58,5.8,5.78,06:30,18:30,0.0,0.0,63.9,3.08,15.9,17.9,73.2,2.48,0.0,0.0,1850.5
2026-03-17 00:21:00,2026-03-17 00:21:00,10.1,185,2.2,0.0,0.0,0.0,0.0,7.9,77.1,45.0,0,7.67,28.95,21.28,12.6,60.0,40.0,17.9,73.5,399,450,0.0,100,100,자동,자동,자동,자동,자동,자동,자동,자동,1,0,0,1,0,26.0,18.0,자동,0,자동,0,1,150.0,1000.0,0.0,2.5,2.44,5.8,5.78,06:30,18:30,0.0,0.0,63.9,2.94,15.9,17.9,73.5,2.34,0.0,0.0,1850.5
2026-03-17 00:22:00,2026-03-17 00:22:00,10.5,58,2.8,0.0,0.0,0.0,0.0,8.6,77.8,45.0,0,8.36,28.93,20.57,12.1,60.0,40.0,17.9,71.1,440,450,0.0,100,100,자동,자동,자동,자동,자동,자동,자동,자동,1,0,0,1,0,26.0,18.0,자동,0,자동,0,1,150.0,1000.0,0.0,2.5,2.51,5.8,5.9,06:30,18:30,0.0,0.0,63.8,3.01,15.9,17.9,71.1,2.41,0.0,0.0,1850.5
2026-03-17 00:23:00,2026-03-17 00:23:00,10.2,348,3.4,0.0,0.0,0.0,0.0,8.2,78.4,45.0,0,8.05,29.1,21.04,12.7,60.0,40.0,18.2,72.3,445,450,0.0,100,100,자동,자동,자동,자동,자동,자동,자동,자동,1,0,0,1,0,26.0,18.0,자동,0,자동,0,1,150.0,1000.0,0.0,2.5,2.54,5.8,5.76,06:30,18:30,0.0,0.0,63.8,3.04,16.2,18.2,72.3,2.44,0.0,0.0,1850.5
2026-03-17 00:24:00,2026-03-17 00:24:00,10.7,285,3.9,0.0,0.0,0.0,0.0,8.8,77.2,45.0,0,7.65,29.0,21.36,12.7,60.0,40.0,18.0,73.6,448,450,0.0,100,100,자동,자동,자동,자동,자동,자동,자동,자동,1,0,0,1,0,26.0,18.0,자동,0,자동,0,1,150.0,1000.0,0.0,2.5,2.43,5.8,5.81,06:30,18:30,0.0,0.0,63.8,2.93,16.0,18.0,73.6,2.33,0.0,0.0,1850.5
2026-03-17 00:25:00,2026-03-17 00:25:00,10.6,41,3.9,0.0,0.0,0.0,0.0,8.6,78.0,45.0,0,7.37,28.83,21.47,12.6,60.0,40.0,17.7,74.5,444,450,0.0,100,100,자동,자동,자동,자동,자동,자동,자동,자동,1,0,0,1,0,26.0,18.0,자동,0,자동,0,1,150.0,1000.0,0.0,2.5,2.45,5.8,5.69,06:30,18:30,0.0,0.0,63.7,2.95,15.7,17.7,74.5,2.35,0.0,0.0,1850.5
2026-03-17 00:26:00,2026-03-17 00:26:00,10.5,155,2.0,0.0,0.0,0.0,0.0,8.4,76.5,45.0,0,7.76,29.08,21.31,12.8,60.0,40.0,18.2,73.3,441,450,0.0,100,100,자동,자동,자동,자동,자동,자동,자동,자동,1,0,0,1,0,26.0,18.0,자동,0,자동,0,1,150.0,1000.0,0.0,2.5,2.49,5.8,5.8,06:30,18:30,0.0,0.0,63.6,2.99,16.2,18.2,73.3,2.39,0.0,0.0,1850.5
2026-03-17 00:27:00,2026-03-17 00:27:00,10.4,93,3.9,0.0,0.0,0.0,0.0,8.6,77.4,45.0,0,8.29,29.13,20.84,12.6,60.0,40.0,18.3,71.5,451,450,0.0,100,100,자동,자동,자동,자동,자동,자동,자동,자동,0,0,0,1,0,26.0,18.0,자동,0,자동,0,1,150.0,1000.0,0.0,2.5,2.5,5.8,5.7,06:30,18:30,0.0,0.0,63.6,3.0,16.3,18.3,71.5,2.4,0.0,0.0,1850.5
2026-03-17 00:28:00,2026-03-17 00:28:00,10.7,235,3.9,0.0,0.0,0.0,0.0,8.6,76.8,45.0,0,7.57,28.93,21.36,12.6,60.0,40.0,17.9,73.8,464,450,0.0,100,100,자동,자동,자동,자동,자동,자동,자동,자동,0,0,0,1,0,26.0,18.0,자동,0,자동,0,1,150.0,1000.0,0.0,2.5,2.43,5.8,5.89,06:30,18:30,0.0,0.0,63.5,2.93,15.9,17.9,73.8,2.33,0.0,0.0,1850.5
2026-03-17 00:29:00,2026-03-17 00:29:00,10.7,119,3.0,0.0,0.0,0.0,0.0,8.7,76.6,45.0,0,8.44,29.19,20.75,12.6,60.0,40.0,18.4,71.1,465,450,0.0,100,100,자동,자동,자동,자동,자동,자동,자동,자동,0,0,0,1,0,26.0,18.0,자동,0,자동,0,1,150.0,1000.0,0.0,2.5,2.44,5.8,5.74,06:30,18:30,0.0,0.0,63.5,2.94,16.4,18.4,71.1,2.34,0.0,0.0,1850.5
2026-03-17 00:30:00,2026-03-17 00:30:00,10.8,173,4.3,0.0,0.0,0.0,0.0,8.6,77.9,45.0,0,7.62,28.88,21.25,12.5,60.0,40.0,17.8,73.6,452,450,0.0,100,100,자동,자동,자동,자동,자동,자동,자동,자동,0,0,0,1,0,26.0,18.0,자동,0,자동,0,1,150.0,1000.0,0.0,2.5,2.55,5.8,5.78,06:30,18:30,0.0,0.0,63.4,3.05,15.8,17.8,73.6,2.45,0.0,0.0,1850.5
2026-03-17 00:31:00,2026-03-17 00:31:00,10.8,172,2.9,0.0,0.0,0.0,0.0,8.6,77.4,45.0,0,7.71,28.89,21.18,12.4,60.0,40.0,17.8,73.3,462,450,0.0,100,100,자동,자동,자동,자동,자동,자동,자동,자동,0,0,0,1,0,26.0,18.0,자동,0,자동,0,1,150.0,1000.0,0.0,2.5,2.56,5.8,5.81,06:30,18:30,0.0,0.0,63.4,3.06,15.8,17.8,73.3,2.46,0.0,0.0,1850.5
2026-03-17 00:32:00,2026-03-17 00:32:00,10.6,53,3.5,0.0,0.0,0.0,0.0,8.5,76.9,45.0,0,7.79,28.88,21.08,12.4,60.0,40.0,17.8,73.0,470,450,0.0,100,100,자동,자동,자동,자동,자동,자동,자동,자동,0,0,0,1,0,26.0,18.0,자동,0,자동,0,1,150.0,1000.0,0.0,2.5,2.64,5.8,5.8,06:30,18:30,0.0,0.0,63.3,3.14,15.8,17.8,73.0,2.54,0.0,0.0,1850.5
2026-03-17 00:33:00,2026-03-17 00:33:00,10.8,244,4.1,0.0,0.0,0.0,0.0,9.0,76.1,45.0,0,7.72,29.09,21.37,12.9,60.0,40.0,18.2,73.5,447,450,0.0,100,100,자동,자동,자동,자동,자동,자동,자동,자동,1,0,0,1,0,26.0,18.0,자동,0,자동,0,1,150.0,1000.0,0.0,2.5,2.43,5.8,5.86,06:30,18:30,0.0,0.0,63.3,2.93,16.2,18.2,73.5,2.33,0.0,0.0,1850.5
2026-03-17 00:34:00,2026-03-17 00:34:00,10.7,261,3.2,0.0,0.0,0.0,0.0,8.6,76.8,45.0,0,7.97,29.16,21.18,12.8,60.0,40.0,18.3,72.7,438,450,0.0,100,100,자동,자동,자동,자동,자동,자동,자동,자동,1,0,0,1,0,26.0,18.0,자동,0,자동,0,1,150.0,1000.0,0.0,2.5,2.54,5.8,5.83,06:30,18:30,0.0,0.0,63.2,3.04,16.3,18.3,72.7,2.44,0.0,0.0,1850.5
2026-03-17 00:35:00,2026-03-17 00:35:00,10.6,74,2.7,0.0,0.0,0.0,0.0,8.5,76.6,45.0,0,7.63,28.86,21.23,12.4,60.0,40.0,17.7,73.6,494,450,0.0,100,100,자동,자동,자동,자동,자동,자동,자동,자동,0,0,0,1,0,26.0,18.0,자동,0,자동,0,1,150.0,1000.0,0.0,2.5,2.51,5.8,5.84,06:30,18:30,0.0,0.0,63.2,3.01,15.7,17.7,73.6,2.41,0.0,0.0,1850.5
2026-03-17 00:36:00,2026-03-17 00:36:00,11.1,337,4.1,0.0,0.0,0.0,0.0,9.1,76.5,45.0,0,7.3,29.1,21.8,13.2,60.0,40.0,18.2,74.9,448,450,0.0,100,100,자동,자동,자동,자동,자동,자동,자동,자동,1,0,0,1,0,26.0,18.0,자동,0,자동,0,1,150.0,1000.0,0.0,2.5,2.5,5.8,5.74,06:30,18:30,0.0,0.0,63.1,3.0,16.2,18.2,74.9,2.4,0.0,0.0,1850.5
2026-03-17 00:37:00,2026-03-17 00:37:00,10.3,356,4.7,0.0,0.0,0.0,0.0,8.2,76.9,45.0,0,7.91,28.93,21.02,12.4,60.0,40.0,17.9,72.6,439,450,0.0,100,100,자동,자동,자동,자동,자동,자동,자동,자동,1,0,0,1,0,26.0,18.0,자동,0,자동,0,1,150.0,1000.0,0.0,2.5,2.5,5.8,5.81,06:30,18:30,0.0,0.0,63.1,3.0,15.9,17.9,72.6,2.4,0.0,0.0,1850.5
2026-03-17 00:38:00,2026-03-17 00:38:00,10.7,331,3.6,0.0,0.0,0.0,0.0,8.7,78.4,45.0,0,8.21,28.97,20.76,12.3,60.0,40.0,17.9,71.6,471,450,0.0,100,100,자동,자동,자동,자동,자동,자동,자동,자동,0,0,0,1,0,26.0,18.0,자동,0,자동,0,1,150.0,1000.0,0.0,2.5,2.52,5.8,5.84,06:30,18:30,0.0,0.0,63.0,3.02,15.9,17.9,71.6,2.42,0.0,0.0,1850.5
2026-03-17 00:39:00,2026-03-17 00:39:00,10.8,46,7.1,0.0,0.0,0.0,0.0,8.8,77.4,45.0,0,7.77,29.01,21.24,12.7,60.0,40.0,18.0,73.2,480,450,0.0,100,100,자동,자동,자동,자동,자동,자동,자동,자동,0,0,0,1,0,26.0,18.0,자동,0,자동,0,1,150.0,1000.0,0.0,2.5,2.41,5.8,5.77,06:30,18:30,0.0,0.0,63.0,2.91,16.0,18.0,73.2,2.31,0.0,0.0,1850.5
2026-03-17 00:40:00,2026-03-17 00:40:00,10.9,245,3.7,0.0,0.0,0.0,0.0,8.9,77.6,45.0,0,8.09,28.91,20.82,12.2,60.0,40.0,17.8,72.0,437,450,0.0,100,100,자동,자동,자동,자동,자동,자동,자동,자동,1,0,0,1,0,26.0,18.0,자동,0,자동,0,1,150.0,1000.0,0.0,2.5,2.45,5.8,5.74,06:30,18:30,0.0,0.0,62.9,2.95,15.8,17.8,72.0,2.35,0.0,0.0,1850.5
2026-03-17 00:41:00,2026-03-17 00:41:00,10.8,162,3.2,0.0,0.0,0.0,0.0,8.9,77.2,45.0,0,7.35,28.98,21.63,12.9,60.0,40.0,18.0,74.6,451,450,0.0,100,100,자동,자동,자동,자동,자동,자동,자동,자동,0,0,0,1,0,26.0,18.0,자동,0,자동,0,1,150.0,1000.0,0.0,2.5,2.44,5.8,5.81,06:30,18:30,0.0,0.0,62.9,2.94,16.0,18.0,74.6,2.34,0.0,0.0,1850.5
2026-03-17 00:42:00,2026-03-17 00:42:00,10.7,157,1.9,0.0,0.0,0.0,0.0,8.7,76.6,45.0,0,7.55,29.01,21.46,12.8,60.0,40.0,18.0,74.0,449,450,0.0,100,100,자동,자동,자동,자동,자동,자동,자동,자동,1,0,0,1,0,26.0,18.0,자동,0,자동,0,1,150.0,1000.0,0.0,2.5,2.48,5.8,5.8,06:30,18:30,0.0,0.0,62.9,2.98,16.0,18.0,74.0,2.38,0.0,0.0,1850.5
2026-03-17 00:43:00,2026-03-17 00:43:00,10.6,38,5.3,0.0,0.0,0.0,0.0,8.7,78.3,45.0,0,7.67,28.78,21.11,12.2,60.0,40.0,17.6,73.3,467,450,0.0,100,100,자동,자동,자동,자동,자동,자동,자동,자동,0,0,0,1,0,26.0,18.0,자동,0,자동,0,1,150.0,1000.0,0.0,2.5,2.46,5.8,5.75,06:30,18:30,0.0,0.0,62.8,2.96,15.6,17.6,73.3,2.36,0.0,0.0,1850.5
2026-03-17 00:44:00,2026-03-17 00:44:00,10.8,289,4.5,0.0,0.0,0.0,0.0,8.7,77.6,45.0,0,7.69,29.06,21.36,12.8,60.0,40.0,18.1,73.5,456,450,0.0,100,100,자동,자동,자동,자동,자동,자동,자동,자동,0,0,0,1,0,26.0,18.0,자동,0,자동,0,1,150.0,1000.0,0.0,2.5,2.47,5.8,5.81,06:30,18:30,0.0,0.0,62.8,2.97,16.1,18.1,73.5,2.37,0.0,0.0,1850.5
2026-03-17 00:45:00,2026-03-17 00:45:00,11.0,176,5.4,0.0,0.0,0.0,0.0,8.9,77.1,45.0,0,7.88,28.94,21.07,12.4,60.0,40.0,17.9,72.8,434,450,0.0,100,100,자동,자동,자동,자동,자동,자동,자동,자동,1,0,0,1,0,26.0,18.0,자동,0,자동,0,1,150.0,1000.0,0.0,2.5,2.58,5.8,5.89,06:30,18:30,0.0,0.0,62.7,3.08,15.9,17.9,72.8,2.48,0.0,0.0,1850.5
2026-03-17 00:46:00,2026-03-17 00:46:00,10.8,40,5.4,0.0,0.0,0.0,0.0,8.8,77.0,45.0,0,8.03,29.06,21.02,12.6,60.0,40.0,18.1,72.4,460,450,0.0,100,100,자동,자동,자동,자동,자동,자동,자동,자동,0,0,0,1,0,26.0,18.0,자동,0,자동,0,1,150.0,1000.0,0.0,2.5,2.51,5.8,5.86,06:30,18:30,0.0,0.0,62.7,3.01,16.1,18.1,72.4,2.41,0.0,0.0,1850.5
2026-03-17 00:47:00,2026-03-17 00:47:00,10.9,226,5.6,0.0,0.0,0.0,0.0,8.9,77.4,45.0,0,8.0,28.96,20.96,12.4,60.0,40.0,17.9,72.4,441,450,0.0,100,100,자동,자동,자동,자동,자동,자동,자동,자동,1,0,0,1,0,26.0,18.0,자동,0,자동,0,1,150.0,1000.0,0.0,2.5,2.52,5.8,5.9,06:30,18:30,0.0,0.0,62.6,3.02,15.9,17.9,72.4,2.42,0.0,0.0,1850.5
2026-03-17 00:48:00,2026-03-17 00:48:00,10.7,333,4.9,0.0,0.0,0.0,0.0,8.8,77.3,45.0,0,8.16,29.22,21.06,12.8,60.0,40.0,18.4,72.1,473,450,0.0,100,100,자동,자동,자동,자동,자동,자동,자동,자동,0,0,0,1,0,26.0,18.0,자동,0,자동,0,1,150.0,1000.0,0.0,2.5,2.42,5.8,5.79,06:30,18:30,0.0,0.0,62.6,2.92,16.4,18.4,72.1,2.32,0.0,0.0,1850.5
2026-03-17 00:49:00,2026-03-17 00:49:00,10.7,140,4.8,0.0,0.0,0.0,0.0,8.8,75.2,45.0,0,7.44,29.21,21.77,13.3,60.0,40.0,18.4,74.5,422,450,0.0,100,100,자동,자동,자동,자동,자동,자동,자동,자동,1,0,0,1,0,26.0,18.0,자동,0,자동,0,1,150.0,1000.0,0.0,2.5,2.56,5.8,5.85,06:30,18:30,0.0,0.0,62.6,3.06,16.4,18.4,74.5,2.46,0.0,0.0,1850.5
2026-03-17 00:50:00,2026-03-17 00:50:00,10.9,116,3.4,0.0,0.0,0.0,0.0,8.9,76.6,45.0,0,7.49,29.0,21.51,12.8,60.0,40.0,18.0,74.2,454,450,0.0,100,100,자동,자동,자동,자동,자동,자동,자동,자동,0,0,0,1,0,26.0,18.0,자동,0,자동,0,1,150.0,1000.0,0.0,2.5,2.39,5.8,5.84,06:30,18:30,0.0,0.0,62.5,2.89,16.0,18.0,74.2,2.29,0.0,0.0,1850.5
2026-03-17 00:51:00,2026-03-17 00:51:00,10.7,226,4.0,0.0,0.0,0.0,0.0,8.9,78.5,45.0,0,7.42,28.93,21.51,12.7,60.0,40.0,17.9,74.4,444,450,0.0,100,100,자동,자동,자동,자동,자동,자동,자동,자동,1,0,0,1,0,26.0,18.0,자동,0,자동,0,1,150.0,1000.0,0.0,2.5,2.53,5.8,5.82,06:30,18:30,0.0,0.0,62.5,3.03,15.9,17.9,74.4,2.43,0.0,0.0,1850.5
2026-03-17 00:52:00,2026-03-17 00:52:00,10.6,279,4.4,0.0,0.0,0.0,0.0,8.8,77.9,45.0,0,8.15,29.01,20.86,12.4,60.0,40.0,18.0,71.9,458,450,0.0,100,100,자동,자동,자동,자동,자동,자동,자동,자동,0,0,0,1,0,26.0,18.0,자동,0,자동,0,1,150.0,1000.0,0.0,2.5,2.49,5.8,5.86,06:30,18:30,0.0,0.0,62.4,2.99,16.0,18.0,71.9,2.39,0.0,0.0,1850.5
